province,district,month,direction,freq_pct
Izmir,Aliağa,11,E,12.1
Izmir,Aliağa,11,SE,16.82
Izmir,Aliağa,11,S,18.6
Izmir,Aliağa,11,SW,2.74
Izmir,Aliağa,11,W,1.92
Izmir,Aliağa,11,NW,4.21
Izmir,Aliağa,12,N,7.22
Izmir,Aliağa,12,NE,36.92
Izmir,Aliağa,12,E,14.13
Izmir,Aliağa,12,SE,21.02
Izmir,Aliağa,12,S,16.69
Izmir,Aliağa,12,SW,1.51
Izmir,Aliağa,12,W,1.2
Izmir,Aliağa,12,NW,1.32
Izmir,Balçova,0,N,23.48
Izmir,Balçova,0,NE,15.8
Izmir,Balçova,0,E,7.2
Izmir,Balçova,0,SE,16.48
Izmir,Balçova,0,S,6.97
Izmir,Balçova,0,SW,4.1
Izmir,Balçova,0,W,8.54
Izmir,Balçova,0,NW,17.43
Izmir,Balçova,1,N,18.48
Izmir,Balçova,1,NE,19.09
Izmir,Balçova,1,E,13.71
Izmir,Balçova,1,SE,31.34
Izmir,Balçova,1,S,9.34
Izmir,Balçova,1,SW,1.94
Izmir,Balçova,1,W,2.12
Izmir,Balçova,1,NW,3.98
Izmir,Balçova,2,N,20.27
Izmir,Balçova,2,NE,15.8
Izmir,Balçova,2,E,10.69
Izmir,Balçova,2,SE,27.78
Izmir,Balçova,2,S,12.19
Izmir,Balçova,2,SW,3.8
Izmir,Balçova,2,W,4.11
Izmir,Balçova,2,NW,5.36
Izmir,Balçova,3,N,18.4
Izmir,Balçova,3,NE,15.19
Izmir,Balçova,3,E,9.42
Izmir,Balçova,3,SE,24.06
Izmir,Balçova,3,S,11.09
Izmir,Balçova,3,SW,5.95
Izmir,Balçova,3,W,6.45
Izmir,Balçova,3,NW,9.44
Izmir,Balçova,4,N,17.31
Izmir,Balçova,4,NE,10.49
Izmir,Balçova,4,E,6.89
Izmir,Balçova,4,SE,17.57
Izmir,Balçova,4,S,12.85
Izmir,Balçova,4,SW,6.28
Izmir,Balçova,4,W,11.71
Izmir,Balçova,4,NW,16.92
Izmir,Balçova,5,N,18.9
Izmir,Balçova,5,NE,10.19
Izmir,Balçova,5,E,5.38
Izmir,Balçova,5,SE,12.67
Izmir,Balçova,5,S,8.88
Izmir,Balçova,5,SW,8.21
Izmir,Balçova,5,W,15.77
Izmir,Balçova,5,NW,20.0
Izmir,Balçova,6,N,24.54
Izmir,Balçova,6,NE,10.31
Izmir,Balçova,6,E,3.14
Izmir,Balçova,6,SE,6.79
Izmir,Balçova,6,S,4.18
Izmir,Balçova,6,SW,5.38
Izmir,Balçova,6,W,14.1
Izmir,Balçova,6,NW,31.57
Izmir,Balçova,7,N,37.53
Izmir,Balçova,7,NE,12.2
Izmir,Balçova,7,E,1.2
Izmir,Balçova,7,SE,2.1
Izmir,Balçova,7,S,1.61
Izmir,Balçova,7,SW,2.65
Izmir,Balçova,7,W,8.91
Izmir,Balçova,7,NW,33.8
Izmir,Balçova,8,N,34.01
Izmir,Balçova,8,NE,15.62
Izmir,Balçova,8,E,1.13
Izmir,Balçova,8,SE,1.65
Izmir,Balçova,8,S,1.12
Izmir,Balçova,8,SW,2.65
Izmir,Balçova,8,W,12.41
Izmir,Balçova,8,NW,31.42
Izmir,Balçova,9,N,27.46
Izmir,Balçova,9,NE,15.4
Izmir,Balçova,9,E,4.39
Izmir,Balçova,9,SE,6.94
Izmir,Balçova,9,S,4.22
Izmir,Balçova,9,SW,4.56
Izmir,Balçova,9,W,11.62
Izmir,Balçova,9,NW,25.4
Izmir,Balçova,10,N,26.21
Izmir,Balçova,10,NE,20.11
Izmir,Balçova,10,E,5.58
Izmir,Balçova,10,SE,12.3
Izmir,Balçova,10,S,4.76
Izmir,Balçova,10,SW,4.25
Izmir,Balçova,10,W,9.07
Izmir,Balçova,10,NW,17.73
Izmir,Balçova,11,N,19.74
Izmir,Balçova,11,NE,19.15
Izmir,Balçova,11,E,11.51
Izmir,Balçova,11,SE,24.43
Izmir,Balçova,11,S,9.88
Izmir,Balçova,11,SW,2.62
Izmir,Balçova,11,W,4.31
Izmir,Balçova,11,NW,8.36
Izmir,Balçova,12,N,18.45
Izmir,Balçova,12,NE,25.85
Izmir,Balçova,12,E,13.6
Izmir,Balçova,12,SE,30.73
Izmir,Balçova,12,S,4.06
Izmir,Balçova,12,SW,0.99
Izmir,Balçova,12,W,1.79
Izmir,Balçova,12,NW,4.53
Izmir,Bayındır,0,N,40.07
Izmir,Bayındır,0,NE,25.39
Izmir,Bayındır,0,E,5.12
Izmir,Bayındır,0,SE,3.5
Izmir,Bayındır,0,S,4.27
Izmir,Bayındır,0,SW,8.68
Izmir,Bayındır,0,W,6.7
Izmir,Bayındır,0,NW,6.27
Izmir,Bayındır,1,N,31.72
Izmir,Bayındır,1,NE,38.64
Izmir,Bayındır,1,E,7.72
Izmir,Bayındır,1,SE,6.13
Izmir,Bayındır,1,S,7.22
Izmir,Bayındır,1,SW,4.44
Izmir,Bayındır,1,W,1.79
Izmir,Bayındır,1,NW,2.35
Izmir,Bayındır,2,N,34.95
Izmir,Bayındır,2,NE,29.71
Izmir,Bayındır,2,E,6.42
Izmir,Bayındır,2,SE,6.39
Izmir,Bayındır,2,S,7.86
Izmir,Bayındır,2,SW,8.07
